WONUM,Farm ID,Farm Name,Farm Number,Turbine No,Component Code,Component Name,Description,Description_EN,Observations,Observations_EN,Age at Event,Event Date
392342,AAA,CLASSIFIED,WF-000,WT-000,MKA11 GA001,Generator 1,Substituição de escovas do gerador,Generator brush replacement,Paragem com o erro 2810-Service Generator Brushes,Shutdown with error 2810-Service Generator Brushes,1.0,2025-01-01 00:00:00
392344,AAA,CLASSIFIED,WF-000,WT-000,MKA11 GA001,Generator 1,Substituição de escovas do gerador,Generator brush replacement,Paragem com o erro 2810-Service Generator Brushes,Stop with error 2810-Service Generator Brushes,1.0,2025-01-01 00:00:00
392343,AAA,CLASSIFIED,WF-000,WT-000,MKA11 GA001,Generator 1,Substituição de escovas do gerador,Generator brush replacement,Paragem com o erro 2810-Service Generator Brushes,Stop with error 2810-Service Generator Brushes,1.0,2025-01-01 00:00:00
293602,AAA,CLASSIFIED,WF-000,WT-000,MSE40,Cooling Converter Systems,Erro no conversor FM1208 - MI classe B.,Error in converter FM1208 - MI class B.,Insistência do erro FM1208 - MI class B fault.,Persistence of error FM1208 - MI class B fault.,1.0,2025-01-01 00:00:00
409854,AAA,CLASSIFIED,WF-000,WT-000,MDL10,Yaw Drive System,Reparação de sistema de travagem do yaw,Repair of yaw braking system,Reparação de sistema de travão de yaw,Repair of yaw brake system,1.0,2025-01-01 00:00:00
132773,AAA,CLASSIFIED,WF-000,WT-000,MDA11,Rotor Blade System,PS (1) – Coat peeling at 27m. 10% SS (2) – Broken fiberglass on drain hole. SS (3) – Erosion/Cr,The provided text appears to be already in English.,Nenhuma observação fornecida,No observation provided,1.0,2025-01-01 00:00:00
311805,AAA,CLASSIFIED,WF-000,WT-000,MUD10,Main Frame and Nacelle,Esponja e fibra do revestimento da nacelle danificada.,Damaged nacelle coating sponge and fiber.,Esponja de revestimento da nacelle danificada.,Damaged nacelle coating sponge.,1.0,2025-01-01 00:00:00
311816,AAA,CLASSIFIED,WF-000,WT-000,MUD10,Main Frame and Nacelle,Esponja e fibra do revestimento da nacelle danificada.,Sponge and fiber of the nacelle coating damaged.,Esponja de revestimento da nacelle danificada.,Damaged nacelle coating sponge.,1.0,2025-01-01 00:00:00
343713,AAA,CLASSIFIED,WF-000,WT-000,MDA20,Rotor Hub Unit,Substituição de tubagem no hub,Pipe replacement in the hub,Ocorrência do alarme 174,Occurrence of alarm 174,1.0,2025-01-01 00:00:00
393994,AAA,CLASSIFIED,WF-000,WT-000,MUD10,Main Frame and Nacelle,Análise de problema na iluminação aérea,Analysis of problem in aerial lighting,Nacelle Auxiliaries,This appears to be an English entry.,1.0,2025-01-01 00:00:00
623122,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,Inspeção do pitch (recomendação análise óleo hidráulico),Pitch inspection (hydraulic oil analysis recommendation),Recolha de amostra de óleo da estação hidráulica 2021,Oil sample collection from hydraulic station 2021,1.0,2025-01-01 00:00:00
328005,AAA,CLASSIFIED,WF-000,WT-000,MDA11,Rotor Blade System,Substituir pitch inverter,Replace pitch inverter,Nenhuma observação fornecida,No observations provided,1.0,2025-01-01 00:00:00
410050,AAA,CLASSIFIED,WF-000,WT-000,MKA11 GA001,Generator 1,Substituição do rolamento NDE do gerador,Generator NDE bearing replacement,Alarme de CMS no rolamento NDE do gerador,CMS alarm on generator NDE bearing,1.0,2025-01-01 00:00:00
426298,AAA,CLASSIFIED,WF-000,WT-000,MKA11 GA001,Generator 1,Substituição de rolamento NDE do gerador,Generator NDE bearing replacement,Substituição de rolamento NDE,NDE bearing replacement,1.0,2025-01-01 00:00:00
426847,AAA,CLASSIFIED,WF-000,WT-000,MDL10,Yaw Drive System,Aditional service works 6 meses 2020,Additional service works 6 months 2020,Reparação de sistema de travão de yaw,Repair of yaw brake system,1.0,2025-01-01 00:00:00
328360,AAA,CLASSIFIED,WF-000,WT-000,MSE40,Cooling Converter Systems,Paragem com erro: FM1208,Stop with error: FM1208,FM1208: Reposição de Varidus,FM1208: Replacement of Varidus,1.0,2025-01-01 00:00:00
376212,AAA,CLASSIFIED,WF-000,WT-000,MDL10,Yaw Drive System,Verificação do Yaw Ring,Yaw Ring Verification,Yaw Ring,Yaw Ring,1.0,2025-01-01 00:00:00
392366,AAA,CLASSIFIED,WF-000,WT-000,MDA12,Rotor Blade System,Blade 2: Cat 4 Repair pints LE erosion from R32-Tip,Blade 2: Cat 4 Repair pints LE erosion from R32-Tip,Inspeção às pás,Blade inspection,1.0,2025-01-01 00:00:00
442442,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,Substituição do filtro do óleo hidráulico off-line,Offline hydraulic oil filter replacement,Recolha de amostra de óleo da estação hidráulica,Collection of oil sample from the hydraulic station,1.0,2025-01-01 00:00:00
392276,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,Alarme de oleo na bacia de retenção da estação hidráulica,Oil alarm in the retention basin of the hydraulic station,Sludge pitch hydr. station,Sludge pitch hydro station,1.0,2025-01-01 00:00:00
392280,AAA,CLASSIFIED,WF-000,WT-000,MST11,MV-Transformation Generator 1,Paragens com erro Q8 breaker open,Stops with error Q8 breaker open,Q8 breaker open,"The entry ""Q8 breaker open"" is already in English.",1.0,2025-01-01 00:00:00
392282,AAA,CLASSIFIED,WF-000,WT-000,MDA20,Rotor Hub Unit,Alarme de óleo na bacia de retenção de óleo no hub.,Oil alarm in the hub oil retention basin.,Oil leakage in Hub,Óleo vazando no cubo,1.0,2025-01-01 00:00:00
392284,AAA,CLASSIFIED,WF-000,WT-000,MST11,MV-Transformation Generator 1,Paragens com erro Error on Q7,Stops with error Error on Q7,Error on Q7,Erro na Q7,1.0,2025-01-01 00:00:00
375372,AAA,CLASSIFIED,WF-000,WT-000,MDK30,Brake System Drive Train ,Sucessivas paragens com o erro FM130.,Successive stops with error FM130.,"A TE tem para muitas vezes com o erro ""FM130 - Brake not open analog""","A TE often has the error ""FM130 - Brake not open analog"".",1.0,2025-01-01 00:00:00
392285,AAA,CLASSIFIED,WF-000,WT-000,MSE11,Converter System Generator 1,"Paragens com erro RT,NotReady Hi.Rot.Cu. _:_ A","Stops with RT error, NotReady Hi.Rot.Cu. *:* A","RT,NotReady Hi.Rot.Cu. _:_ A","RT,NotReady Hi.Rot.Cu. *:* A",1.0,2025-01-01 00:00:00
392289,AAA,CLASSIFIED,WF-000,WT-000,MDA20,Rotor Hub Unit,Alarme de óleo na bacia de retenção de óleo no hub.,Oil alarm in the oil containment basin at the hub.,Oil leakage in Hub,"The entry ""Oil leakage in Hub"" is already in English.",1.0,2025-01-01 00:00:00
392293,AAA,CLASSIFIED,WF-000,WT-000,MSE11,Converter System Generator 1,Paragens com erro Rotor inv. HW error L_,Stops with error Rotor inv. HW error L_,Rotor inv. HW error L_,Rotor inv. HW error L_,1.0,2025-01-01 00:00:00
392294,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,Alarme de oleo na bacia de retenção da estação hidráulica,Oil alarm in the retention basin of the hydraulic station,Sludge pitch hydr. station,Sludge pitch hydraulic station,1.0,2025-01-01 00:00:00
392295,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,Alarme de nível de óleo baixo na estação hidráulica.,Low oil level alarm at the hydraulic station.,"Low oil-level, pitch hydraulic","Low oil-level, pitch hydraulic",1.0,2025-01-01 00:00:00
392296,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,Alarme de nível de óleo baixo na estação hidráulica.,Low oil level alarm at the hydraulic station.,"Low oil-level, pitch hydraulic","Low oil-level, pitch hydraulic",1.0,2025-01-01 00:00:00
392299,AAA,CLASSIFIED,WF-000,WT-000,MSE11,Converter System Generator 1,Paragens com erro GearOil press low mbar,Stops due to error GearOil press low mbar/ øC,GearOil press low mbar/ øC,Gear oil pressure low mbar/ °C,1.0,2025-01-01 00:00:00
